date,cases,deaths
2020-03-17,3,0
2020-03-18,20,0
2020-03-19,36,0
2020-03-20,46,0
2020-03-21,47,1
2020-03-22,56,1
2020-03-23,70,1
2020-03-24,78,1
2020-03-25,80,1
2020-03-26,86,1
2020-03-27,90,2
2020-03-28,101,5
2020-03-29,105,5
2020-03-30,123,7
2020-03-31,132,7
2020-04-01,154,8
2020-04-02,161,12
2020-04-03,188,12
2020-04-04,191,13
2020-04-05,204,14
2020-04-06,212,15
2020-04-07,216,15
2020-04-08,223,17
2020-04-09,231,17
2020-04-10,237,17
2020-04-11,240,18
2020-04-12,258,20
2020-04-13,267,21
2020-04-14,269,22
2020-04-15,277,23
2020-04-16,279,24
2020-04-17,311,28
2020-04-18,317,28
2020-04-19,327,30
2020-04-20,339,32
2020-04-21,347,34
2020-04-22,360,36
2020-04-23,370,37
2020-04-24,395,43
2020-04-25,402,46
2020-04-26,423,49
2020-04-27,452,53
2020-04-28,480,56
2020-04-29,492,57
2020-04-30,506,60
2020-05-01,552,67
2020-05-02,670,78
2020-05-03,767,82
2020-05-04,825,87
2020-05-05,860,91
2020-05-06,937,113
2020-05-07,1013,145
2020-05-08,1121,190
2020-05-09,1163,205
2020-05-10,1257,233
2020-05-11,1333,251
2020-05-12,1425,274
2020-05-13,1553,290
2020-05-14,1661,314
2020-05-15,1773,354
2020-05-16,1918,381
2020-05-17,2086,408
2020-05-18,2188,449
2020-05-19,2315,477
2020-05-20,2440,523
2020-05-21,2629,580
2020-05-22,2720,616
2020-05-23,2800,646
2020-05-24,2965,704
2020-05-25,3110,740
2020-05-26,3335,828
2020-05-27,3489,872
2020-05-28,3597,905
2020-05-29,3770,950
2020-05-30,3919,989
2020-05-31,4115,1051
2020-06-01,4255,1093
2020-06-02,4392,1137
2020-06-03,4614,1207
2020-06-04,4773,1247
2020-06-05,4851,1277
2020-06-06,4969,1326
2020-06-07,5131,1378
2020-06-08,5225,1397
2020-06-09,5324,1422
2020-06-10,5446,1460
2020-06-11,5609,1507
2020-06-12,5701,1537
2020-06-13,5847,1576
